ID,ISBN,Název,Autor,Žánry,Police ID,Police Název,Rok,Vydavatel,Hodnocení
401,9788085925029,"Já, písnička (2)",* antologie,"Literatura naučná, Učebnice a slovníky, Hudba a zpěv",1,Police 1: Sci-Fi & Kyberpunk,,"[{'@type': 'Organization', 'name': 'Music Cheb'}]",4.7
404,9788085925036,"Já, písnička 3",* antologie,"Literatura naučná, Učebnice a slovníky, Hudba a zpěv",1,Police 1: Sci-Fi & Kyberpunk,,"[{'@type': 'Organization', 'name': 'Svojtka & Co.'}]",4.4
406,9788085925036,"Já, písnička 4",* antologie,"Literatura naučná, Učebnice a slovníky, Hudba a zpěv",1,Police 1: Sci-Fi & Kyberpunk,,"[{'@type': 'Organization', 'name': 'Svojtka & Co.'}]",4.4
400,9783625125303,Akustická kytara,Frank Walter,Literatura naučná,1,Police 1: Sci-Fi & Kyberpunk,,"[{'@type': 'Organization', 'name': 'Naumann & Göbel (CZ)'}]",0.0
403,9788090082403,Brontosauři,Jan Nedvěd,"Literatura naučná, Umění",1,Police 1: Sci-Fi & Kyberpunk,,"[{'@type': 'Organization', 'name': 'Bočan'}]",4.7
405,8595071900011,"Jan Nedvěd I. - Písně z desek JAKUB, SEDMIKRÁSKA, FRANTIŠEK",Jan Nedvěd,"Literatura naučná, Umění",1,Police 1: Sci-Fi & Kyberpunk,,"[{'@type': 'Organization', 'name': 'Folk & Country klub'}]",4.8
407,,Tak odjíždí poslední kovboj 1,Michal Tučný,,1,Police 1: Sci-Fi & Kyberpunk,,,0.0
408,,Tak odjíždí poslední kovboj 2,Michal Tučný,,1,Police 1: Sci-Fi & Kyberpunk,,,0.0
399,9788085282252,Hosana - zpěvník křesťanských písní,kolektiv autorů,"Literatura naučná, Umění",1,Police 1: Sci-Fi & Kyberpunk,,"[{'@type': 'Organization', 'name': 'Portál'}]",4.2
260,9788026444404,Já jsem vrah,"Danny Tipping, Ned Parker","Literatura světová, Detektivky, krimi",3,Police 3: Detektivky & Thrillery,2022,"[{'@type': 'Organization', 'name': 'CPress'}]",4.1
203,9788073419813,Zmizelé ruce,Robert Wilson,"Literatura světová, Detektivky, krimi",3,Police 3: Detektivky & Thrillery,,"[{'@type': 'Organization', 'name': 'BB art'}]",3.8
221,9788073037420,Kolumbova záhada,Steve Berry,"Literatura světová, Detektivky, krimi",3,Police 3: Detektivky & Thrillery,,"[{'@type': 'Organization', 'name': 'Domino'}]",4.1
198,9788073700126,Rady andělů na každý den,Doreen Virtue,"Duchovní literatura, Esoterika, astrologie, okultismus",4,Police 4: Horory & Mystika,,"[{'@type': 'Organization', 'name': 'Synergie (Synex)'}]",4.5
370,9788072661138,Cestička k Bohu,Ferdinand Neubauer,,4,Police 4: Horory & Mystika,,,0.0
371,9788090132412,Moje první modlitba,František Daniel Merth,Pro děti a mládež,4,Police 4: Horory & Mystika,,"[{'@type': 'Organization', 'name': 'J. Steinbrener'}]",0.0
359,9788072663255,Stála jsem u brány nebe a pekla,Gloria Polo,"Duchovní literatura, Esoterika, astrologie, okultismus, Náboženství",4,Police 4: Horory & Mystika,,"[{'@type': 'Organization', 'name': 'Matice cyrilometodějská'}]",4.1
298,9788071954170,Co Bůh šeptá maminkám,Hana Pinknerová,"Duchovní literatura, Náboženství",4,Police 4: Horory & Mystika,,"[{'@type': 'Organization', 'name': 'Karmelitánské nakladatelství'}]",4.1
410,9788071923015,Dávné i dnešní Dětské modlitby,Jana Vachulová,,4,Police 4: Horory & Mystika,,,0.0
306,9788074590443,Vodnář,Jenny Eremias,"Duchovní literatura, Esoterika, astrologie, okultismus",4,Police 4: Horory & Mystika,,"[{'@type': 'Organization', 'name': 'Československý spisovatel'}]",4.1
369,9788090194342,Mše svatá - Misálek,Jiří Kaňa,"Duchovní literatura, Náboženství",4,Police 4: Horory & Mystika,,"[{'@type': 'Organization', 'name': 'Kartuziánské nakladatelství'}]",5.0
358,9788090074606,Ilustrovaná Bible pro mládež,"Josef E. Krause, Samuel Terrien","Duchovní literatura, Náboženství",4,Police 4: Horory & Mystika,,"[{'@type': 'Organization', 'name': 'Katolické nakladatelství COR JESU'}]",4.5
372,9788072952588,Deset kroků k radosti,Max Kašparů,"Duchovní literatura, Náboženství",4,Police 4: Horory & Mystika,,"[{'@type': 'Organization', 'name': 'Cesta'}]",4.6
280,9788087529065,Hovory s Bohem I.-III.,Neale Donald Walsch,Duchovní literatura,4,Police 4: Horory & Mystika,,"[{'@type': 'Organization', 'name': 'Alpha Book'}]",4.4
180,9788073903886,Hovory s Bohem – Otázky a odpovědi,Neale Donald Walsch,"Literatura světová, Náboženství, Literatura naučná",4,Police 4: Horory & Mystika,2017,"[{'@type': 'Organization', 'name': 'Omega'}]",4.1
42,8090208606,Katolický katechismus: Život z Víry,"Oldřich Med, František Tomášek","Duchovní literatura, Náboženství, Učebnice a slovníky",4,Police 4: Horory & Mystika,,"[{'@type': 'Organization', 'name': 'Česká katolická charita'}]",4.3
